SourceData,TagID,SiteID,NowDis,State,CreateTimeStr,Sn,Azimuth,Elevation,
FF FF FF FF 00 25 00 03 20 01 01 02 00 00 0E 23 00 00 0E 23 00 00 00 39 FF CF 00 3C 12 34 00 01 C3 00 00 00 D5,3619,3619,57,4660,2026-04-02 15:24:16.619,1,-49,60,
FF FF FF FF 00 25 00 04 20 01 01 02 00 00 0E 23 00 00 0E 23 00 00 00 39 FF CF 00 3C 12 34 00 02 C2 00 00 00 D0,3619,3619,57,4660,2026-04-02 15:24:16.665,2,-49,60,
FF FF FF FF 00 25 00 05 20 01 01 02 00 00 0E 23 00 00 0E 23 00 00 00 38 FF CD 00 39 12 34 00 03 C2 00 00 00 D6,3619,3619,56,4660,2026-04-02 15:24:16.696,3,-51,57,
FF FF FF FF 00 25 00 06 20 01 01 02 00 00 0E 23 00 00 0E 23 00 00 00 38 FF CD 00 37 12 34 00 04 C2 00 00 00 DC,3619,3619,56,4660,2026-04-02 15:24:16.712,4,-51,55,
FF FF FF FF 00 25 00 07 20 01 01 02 00 00 0E 23 00 00 0E 23 00 00 00 38 FF CE 00 34 12 34 00 05 C1 00 00 00 DF,3619,3619,56,4660,2026-04-02 15:24:16.743,5,-50,52,
FF FF FF FF 00 25 00 08 20 01 01 02 00 00 0E 23 00 00 0E 23 00 00 00 38 FF CE 00 33 12 34 00 06 C0 00 00 00 D5,3619,3619,56,4660,2026-04-02 15:24:16.790,6,-50,51,
FF FF FF FF 00 25 00 09 20 01 01 02 00 00 0E 23 00 00 0E 23 00 00 00 36 FF CF 00 31 12 34 00 07 C0 00 00 00 D8,3619,3619,54,4660,2026-04-02 15:24:16.838,7,-49,49,
FF FF FF FF 00 25 00 0A 20 01 01 02 00 00 0E 23 00 00 0E 23 00 00 00 35 FF D0 00 2E 12 34 00 08 C0 00 00 00 D7,3619,3619,53,4660,2026-04-02 15:24:16.869,8,-48,46,
FF FF FF FF 00 25 00 02 20 01 01 02 00 00 0E 23 00 00 0E 23 00 00 00 35 FF CF 00 42 12 34 00 00 C3 00 00 00 A7,3619,3619,52,4660,2026-04-02 15:24:16.885,9,-48,45,
FF FF FF FF 00 25 00 0B 20 01 01 02 00 00 0E 23 00 00 0E 23 00 00 00 34 FF D0 00 2D 12 34 00 09 BF 00 00 00 AA,3619,3619,52,4660,2026-04-02 15:24:16.885,9,-48,45,
FF FF FF FF 00 25 00 0D 20 01 01 02 00 00 0E 23 00 00 0E 23 00 00 00 33 FF D1 00 2D 12 34 00 0B BF 00 00 00 A8,3619,3619,51,4660,2026-04-02 15:24:16.963,11,-47,45,
FF FF FF FF 00 25 00 0E 20 01 01 02 00 00 0E 23 00 00 0E 23 00 00 00 32 FF D1 00 2B 12 34 00 0C C0 00 00 00 D4,3619,3619,50,4660,2026-04-02 15:24:16.994,12,-47,43,
FF FF FF FF 00 25 00 0F 20 01 01 02 00 00 0E 23 00 00 0E 23 00 00 00 32 FF D1 00 2C 12 34 00 0D C0 00 00 00 D3,3619,3619,50,4660,2026-04-02 15:24:17.010,13,-47,44,
FF FF FF FF 00 25 00 10 20 01 01 02 00 00 0E 23 00 00 0E 23 00 00 00 32 FF D2 00 2B 12 34 00 0E C1 00 00 00 CA,3619,3619,50,4660,2026-04-02 15:24:17.042,14,-46,43,
FF FF FF FF 00 25 00 11 20 01 01 02 00 00 0E 23 00 00 0E 23 00 00 00 32 FF D2 00 2D 12 34 00 0F C4 00 00 00 C9,3619,3619,50,4660,2026-04-02 15:24:17.089,15,-46,45,
FF FF FF FF 00 25 00 12 20 01 01 02 00 00 0E 23 00 00 0E 23 00 00 00 33 FF D1 00 2F 12 34 00 10 C4 00 00 00 D5,3619,3619,51,4660,2026-04-02 15:24:17.120,16,-47,47,
FF FF FF FF 00 25 00 13 20 01 01 02 00 00 0E 23 00 00 0E 23 00 00 00 35 FF D1 00 2E 12 34 00 11 C1 00 00 00 D7,3619,3619,53,4660,2026-04-02 15:24:17.136,17,-47,46,
FF FF FF FF 00 25 00 14 20 01 01 02 00 00 0E 23 00 00 0E 23 00 00 00 34 FF D2 00 2D 12 34 00 12 C0 00 00 00 D3,3619,3619,52,4660,2026-04-02 15:24:17.168,18,-46,45,
FF FF FF FF 00 25 00 15 20 01 01 02 00 00 0E 23 00 00 0E 23 00 00 00 2F FF CF 00 26 12 34 00 13 C2 00 00 00 DC,3619,3619,47,4660,2026-04-02 15:24:17.214,19,-49,38,
FF FF FF FF 00 25 00 16 20 01 01 02 00 00 0E 23 00 00 0E 23 00 00 00 2F FF D1 00 26 12 34 00 14 C2 00 00 00 C6,3619,3619,47,4660,2026-04-02 15:24:17.246,20,-47,38,
FF FF FF FF 00 25 00 17 20 01 01 02 00 00 0E 23 00 00 0E 23 00 00 00 31 FF D0 00 2E 12 34 00 15 C4 00 00 00 D7,3619,3619,49,4660,2026-04-02 15:24:17.262,21,-48,46,
FF FF FF FF 00 25 00 18 20 01 01 02 00 00 0E 23 00 00 0E 23 00 00 00 32 FF D0 00 28 12 34 00 16 C0 00 00 00 DA,3619,3619,50,4660,2026-04-02 15:24:17.292,22,-48,40,
FF FF FF FF 00 25 00 19 20 01 01 02 00 00 0E 23 00 00 0E 23 00 00 00 2D FF CF 00 22 12 34 00 17 BE 00 00 00 AE,3619,3619,45,4660,2026-04-02 15:24:17.339,23,-49,34,
FF FF FF FF 00 25 00 1A 20 01 01 02 00 00 0E 23 00 00 0E 23 00 00 00 2C FF D1 00 26 12 34 00 18 BF 00 00 00 B8,3619,3619,44,4660,2026-04-02 15:24:17.370,24,-47,38,
FF FF FF FF 00 25 00 1B 20 01 01 02 00 00 0E 23 00 00 0E 23 00 00 00 2E FF CF 00 21 12 34 00 19 BF 00 00 00 A3,3619,3619,46,4660,2026-04-02 15:24:17.386,25,-49,33,
FF FF FF FF 00 25 00 1C 20 01 01 02 00 00 0E 23 00 00 0E 23 00 00 00 27 FF CE 00 1D 12 34 00 1A C0 00 00 00 EC,3619,3619,39,4660,2026-04-02 15:24:17.418,26,-50,29,
FF FF FF FF 00 25 00 1D 20 01 01 02 00 00 0E 23 00 00 0E 23 00 00 00 21 FF CC 00 19 12 34 00 1B C4 00 00 00 E8,3619,3619,33,4660,2026-04-02 15:24:17.464,27,-52,25,
FF FF FF FF 00 25 00 1E 20 01 01 02 00 00 0E 23 00 00 0E 23 00 00 00 1E FF CF 00 23 12 34 00 1C BF 00 00 00 91,3619,3619,30,4660,2026-04-02 15:24:17.495,28,-49,35,
FF FF FF FF 00 25 00 1F 20 01 01 02 00 00 0E 23 00 00 0E 23 00 00 00 1D FF CC 00 1E 12 34 00 1D BF 00 00 00 AC,3619,3619,29,4660,2026-04-02 15:24:17.511,29,-52,30,
FF FF FF FF 00 25 00 20 20 01 01 02 00 00 0E 23 00 00 0E 23 00 00 00 1D FF C7 00 1A 12 34 00 1E BF 00 00 00 9F,3619,3619,29,4660,2026-04-02 15:24:17.543,30,-57,26,
FF FF FF FF 00 25 00 1A 20 01 01 02 00 00 0E 15 00 00 0E 15 00 00 00 22 00 39 FF EA 12 34 00 08 00 00 00 00 3D,3605,3605,34,4660,2026-04-02 15:28:22.300,8,57,-22,
FF FF FF FF 00 25 00 1B 20 01 01 02 00 00 0E 15 00 00 0E 15 00 00 00 23 00 47 FF EB 12 34 00 09 00 00 00 00 43,3605,3605,35,4660,2026-04-02 15:28:22.331,9,71,-21,
FF FF FF FF 00 25 00 1C 20 01 01 02 00 00 0E 15 00 00 0E 15 00 00 00 25 00 51 FF EC 12 34 00 0A 00 00 00 00 50,3605,3605,37,4660,2026-04-02 15:28:22.376,10,81,-20,
FF FF FF FF 00 25 00 1D 20 01 01 02 00 00 0E 15 00 00 0E 15 00 00 00 26 00 59 FF ED 12 34 00 0B 00 00 00 00 5A,3605,3605,38,4660,2026-04-02 15:28:22.408,11,89,-19,
FF FF FF FF 00 25 00 1E 20 01 01 02 00 00 0E 15 00 00 0E 15 00 00 00 27 00 60 FF EE 12 34 00 0C 00 00 00 00 65,3605,3605,39,4660,2026-04-02 15:28:22.424,12,96,-18,
FF FF FF FF 00 25 00 1F 20 01 01 02 00 00 0E 15 00 00 0E 15 00 00 00 27 00 66 FF EF 12 34 00 0D 00 00 00 00 62,3605,3605,39,4660,2026-04-02 15:28:22.456,13,102,-17,
FF FF FF FF 00 25 00 20 20 01 01 02 00 00 0E 15 00 00 0E 15 00 00 00 27 00 6A FF EE 12 34 00 0E 00 00 00 00 53,3605,3605,39,4660,2026-04-02 15:28:22.471,14,106,-18,
FF FF FF FF 00 25 00 21 20 01 01 02 00 00 0E 15 00 00 0E 15 00 00 00 27 00 6E FF EF 12 34 00 0F 00 00 00 00 56,3605,3605,39,4660,2026-04-02 15:28:22.503,15,110,-17,
FF FF FF FF 00 25 00 19 20 01 01 02 00 00 0E 15 00 00 0E 15 00 00 00 20 00 1E FF F3 12 34 00 07 00 00 00 00 0D,3605,3605,38,4660,2026-04-02 15:28:22.550,17,115,-17,
FF FF FF FF 00 25 00 22 20 01 01 02 00 00 0E 15 00 00 0E 15 00 00 00 27 00 71 FF EF 12 34 00 10 00 00 00 00 55,3605,3605,39,4660,2026-04-02 15:28:22.534,16,113,-17,
FF FF FF FF 00 25 00 24 20 01 01 02 00 00 0E 15 00 00 0E 15 00 00 00 26 00 75 FF EF 12 34 00 12 00 00 00 00 54,3605,3605,38,4660,2026-04-02 15:28:22.582,18,117,-17,
FF FF FF FF 00 25 00 25 20 01 01 02 00 00 0E 15 00 00 0E 15 00 00 00 27 00 76 FF F0 12 34 00 13 00 00 00 00 49,3605,3605,39,4660,2026-04-02 15:28:22.598,19,118,-16,
FF FF FF FF 00 25 00 26 20 01 01 02 00 00 0E 15 00 00 0E 15 00 00 00 26 00 77 FF EF 12 34 00 14 00 00 00 00 52,3605,3605,38,4660,2026-04-02 15:28:22.629,20,119,-17,
FF FF FF FF 00 25 00 27 20 01 01 02 00 00 0E 15 00 00 0E 15 00 00 00 26 00 78 FF EF 12 34 00 15 00 00 00 00 5D,3605,3605,38,4660,2026-04-02 15:28:22.676,21,120,-17,
FF FF FF FF 00 25 00 28 20 01 01 02 00 00 0E 15 00 00 0E 15 00 00 00 25 00 79 FF EF 12 34 00 16 00 00 00 00 53,3605,3605,37,4660,2026-04-02 15:28:22.708,22,121,-17,
FF FF FF FF 00 25 00 29 20 01 01 02 00 00 0E 15 00 00 0E 15 00 00 00 26 00 7A FF EF 12 34 00 17 00 00 00 00 53,3605,3605,38,4660,2026-04-02 15:28:22.723,23,122,-17,
FF FF FF FF 00 25 00 2A 20 01 01 02 00 00 0E 15 00 00 0E 15 00 00 00 26 00 7A FF EE 12 34 00 18 00 00 00 00 5E,3605,3605,38,4660,2026-04-02 15:28:22.755,24,122,-18,
FF FF FF FF 00 25 00 2B 20 01 01 02 00 00 0E 15 00 00 0E 15 00 00 00 27 00 7B FF EE 12 34 00 19 00 00 00 00 5E,3605,3605,39,4660,2026-04-02 15:28:22.771,25,123,-18,
FF FF FF FF 00 25 00 2C 20 01 01 02 00 00 0E 15 00 00 0E 15 00 00 00 27 00 7B FF EE 12 34 00 1A 00 00 00 00 5A,3605,3605,39,4660,2026-04-02 15:28:22.803,26,123,-18,
FF FF FF FF 00 25 00 2D 20 01 01 02 00 00 0E 15 00 00 0E 15 00 00 00 28 00 7B FF EF 12 34 00 1B 00 00 00 00 54,3605,3605,40,4660,2026-04-02 15:28:22.835,27,123,-17,
FF FF FF FF 00 25 00 2E 20 01 01 02 00 00 0E 15 00 00 0E 15 00 00 00 28 00 7C FF EF 12 34 00 1C 00 00 00 00 57,3605,3605,40,4660,2026-04-02 15:28:22.851,28,124,-17,
FF FF FF FF 00 25 00 2F 20 01 01 02 00 00 0E 15 00 00 0E 15 00 00 00 28 00 7C FF EF 12 34 00 1D 00 00 00 00 57,3605,3605,40,4660,2026-04-02 15:28:22.882,29,124,-17,
FF FF FF FF 00 25 00 30 20 01 01 02 00 00 0E 15 00 00 0E 15 00 00 00 28 00 7C FF EF 12 34 00 1E 00 00 00 00 4B,3605,3605,40,4660,2026-04-02 15:28:22.898,30,124,-17,
FF FF FF FF 00 25 00 31 20 01 01 02 00 00 0E 15 00 00 0E 15 00 00 00 28 00 7B FF EF 12 34 00 1F 00 00 00 00 4C,3605,3605,40,4660,2026-04-02 15:28:22.929,31,123,-17,
FF FF FF FF 00 25 00 32 20 01 01 02 00 00 0E 15 00 00 0E 15 00 00 00 28 00 7B FF F0 12 34 00 20 00 00 00 00 6F,3605,3605,40,4660,2026-04-02 15:28:22.977,32,123,-16,
FF FF FF FF 00 25 00 33 20 01 01 02 00 00 0E 15 00 00 0E 15 00 00 00 28 00 7C FF F0 12 34 00 21 00 00 00 00 68,3605,3605,40,4660,2026-04-02 15:28:23.008,33,124,-16,
FF FF FF FF 00 25 00 34 20 01 01 02 00 00 0E 15 00 00 0E 15 00 00 00 27 00 7C FF F1 12 34 00 22 00 00 00 00 62,3605,3605,39,4660,2026-04-02 15:28:23.024,34,124,-15,
FF FF FF FF 00 25 00 35 20 01 01 02 00 00 0E 15 00 00 0E 15 00 00 00 27 00 7C FF F1 12 34 00 23 00 00 00 00 62,3605,3605,39,4660,2026-04-02 15:28:23.056,35,124,-15,
