SourceData,TagID,SiteID,NowDis,State,CreateTimeStr,Sn,Azimuth,Elevation,
FF FF FF FF 00 25 00 05 20 01 01 02 00 00 0E 79 00 00 0E 79 00 00 00 11 FF D9 FF F7 12 34 00 01 D2 00 00 00 C8,3705,3705,17,4660,2026-04-07 13:08:41.875,1,-39,-9,
FF FF FF FF 00 25 00 06 20 01 01 02 00 00 0E 79 00 00 0E 79 00 00 00 10 FF D9 FF F6 12 34 00 02 D4 00 00 00 CE,3705,3705,16,4660,2026-04-07 13:08:41.907,2,-39,-10,
FF FF FF FF 00 25 00 07 20 01 01 02 00 00 0E 79 00 00 0E 79 00 00 00 0F FF D9 FF F6 12 34 00 03 D3 00 00 00 D6,3705,3705,15,4660,2026-04-07 13:08:41.953,3,-39,-10,
FF FF FF FF 00 25 00 08 20 01 01 02 00 00 0E 79 00 00 0E 79 00 00 00 0F FF D9 FF F6 12 34 00 04 D3 00 00 00 DE,3705,3705,15,4660,2026-04-07 13:08:42.000,4,-39,-10,
FF FF FF FF 00 25 00 09 20 01 01 02 00 00 0E 79 00 00 0E 79 00 00 00 0E FF D9 FF F6 12 34 00 05 D2 00 00 00 DE,3705,3705,14,4660,2026-04-07 13:08:42.031,5,-39,-10,
FF FF FF FF 00 25 00 0A 20 01 01 02 00 00 0E 79 00 00 0E 79 00 00 00 0E FF D9 FF F6 12 34 00 06 D2 00 00 00 DE,3705,3705,14,4660,2026-04-07 13:08:42.078,6,-39,-10,
FF FF FF FF 00 25 00 0B 20 01 01 02 00 00 0E 79 00 00 0E 79 00 00 00 0E FF D9 FF F6 12 34 00 07 D3 00 00 00 DF,3705,3705,14,4660,2026-04-07 13:08:42.109,7,-39,-10,
FF FF FF FF 00 25 00 0C 20 01 01 02 00 00 0E 79 00 00 0E 79 00 00 00 0D FF D9 FF F7 12 34 00 08 D5 00 00 00 D3,3705,3705,13,4660,2026-04-07 13:08:42.124,8,-39,-9,
FF FF FF FF 00 25 00 04 20 01 01 02 00 00 0E 79 00 00 0E 79 00 00 00 0C FF D7 FF F5 12 34 00 00 D2 00 00 00 D9,3705,3705,13,4660,2026-04-07 13:08:42.155,9,-40,-10,
FF FF FF FF 00 25 00 0D 20 01 01 02 00 00 0E 79 00 00 0E 79 00 00 00 0D FF D8 FF F6 12 34 00 09 D3 00 00 00 D5,3705,3705,13,4660,2026-04-07 13:08:42.155,9,-40,-10,
FF FF FF FF 00 25 00 0E 20 01 01 02 00 00 0E 79 00 00 0E 79 00 00 00 0D FF D8 FF F6 12 34 00 0A D1 00 00 00 D7,3705,3705,13,4660,2026-04-07 13:08:42.203,10,-40,-10,
FF FF FF FF 00 25 00 0F 20 01 01 02 00 00 0E 79 00 00 0E 79 00 00 00 0C FF D8 FF F6 12 34 00 0B D2 00 00 00 D5,3705,3705,12,4660,2026-04-07 13:08:42.234,11,-40,-10,
FF FF FF FF 00 25 00 10 20 01 01 02 00 00 0E 79 00 00 0E 79 00 00 00 0D FF D8 FF F6 12 34 00 0C D4 00 00 00 CA,3705,3705,13,4660,2026-04-07 13:08:42.250,12,-40,-10,
FF FF FF FF 00 25 00 11 20 01 01 02 00 00 0E 79 00 00 0E 79 00 00 00 0C FF D8 FF F6 12 34 00 0D D5 00 00 00 CA,3705,3705,12,4660,2026-04-07 13:08:42.281,13,-40,-10,
FF FF FF FF 00 25 00 12 20 01 01 02 00 00 0E 79 00 00 0E 79 00 00 00 0C FF D8 FF F6 12 34 00 0E D3 00 00 00 CC,3705,3705,12,4660,2026-04-07 13:08:42.328,14,-40,-10,
FF FF FF FF 00 25 00 13 20 01 01 02 00 00 0E 79 00 00 0E 79 00 00 00 0D FF D8 FF F6 12 34 00 0F D3 00 00 00 CD,3705,3705,13,4660,2026-04-07 13:08:42.360,15,-40,-10,
FF FF FF FF 00 25 00 14 20 01 01 02 00 00 0E 79 00 00 0E 79 00 00 00 0D FF D9 FF F6 12 34 00 10 D3 00 00 00 D4,3705,3705,13,4660,2026-04-07 13:08:42.374,16,-39,-10,
FF FF FF FF 00 25 00 15 20 01 01 02 00 00 0E 79 00 00 0E 79 00 00 00 0D FF D9 FF F6 12 34 00 11 D1 00 00 00 D6,3705,3705,13,4660,2026-04-07 13:08:42.406,17,-39,-10,
FF FF FF FF 00 25 00 16 20 01 01 02 00 00 0E 79 00 00 0E 79 00 00 00 0D FF D9 FF F6 12 34 00 12 D4 00 00 00 D3,3705,3705,13,4660,2026-04-07 13:08:42.452,18,-39,-10,
FF FF FF FF 00 25 00 17 20 01 01 02 00 00 0E 79 00 00 0E 79 00 00 00 0B FF D9 FF F5 12 34 00 13 D2 00 00 00 D0,3705,3705,11,4660,2026-04-07 13:08:42.483,19,-39,-11,
FF FF FF FF 00 25 00 18 20 01 01 02 00 00 0E 79 00 00 0E 79 00 00 00 0C FF D9 FF F5 12 34 00 14 D2 00 00 00 DF,3705,3705,12,4660,2026-04-07 13:08:42.499,20,-39,-11,
FF FF FF FF 00 25 00 19 20 01 01 02 00 00 0E 79 00 00 0E 79 00 00 00 0C FF D8 FF F5 12 34 00 15 D3 00 00 00 DF,3705,3705,12,4660,2026-04-07 13:08:42.530,21,-40,-11,
FF FF FF FF 00 25 00 1A 20 01 01 02 00 00 0E 79 00 00 0E 79 00 00 00 0C FF D9 FF F5 12 34 00 16 D3 00 00 00 DE,3705,3705,12,4660,2026-04-07 13:08:42.577,22,-39,-11,
FF FF FF FF 00 25 00 1B 20 01 01 02 00 00 0E 79 00 00 0E 79 00 00 00 0C FF D9 FF F5 12 34 00 17 D2 00 00 00 DF,3705,3705,12,4660,2026-04-07 13:08:42.608,23,-39,-11,
FF FF FF FF 00 25 00 1C 20 01 01 02 00 00 0E 79 00 00 0E 79 00 00 00 0C FF D9 FF F5 12 34 00 18 D1 00 00 00 D4,3705,3705,12,4660,2026-04-07 13:08:42.623,24,-39,-11,
FF FF FF FF 00 25 00 1D 20 01 01 02 00 00 0E 79 00 00 0E 79 00 00 00 0D FF D9 FF F5 12 34 00 19 D2 00 00 00 D6,3705,3705,13,4660,2026-04-07 13:08:42.654,25,-39,-11,
FF FF FF FF 00 25 00 1E 20 01 01 02 00 00 0E 79 00 00 0E 79 00 00 00 0D FF D9 FF F5 12 34 00 1A D1 00 00 00 D5,3705,3705,13,4660,2026-04-07 13:08:42.701,26,-39,-11,
FF FF FF FF 00 25 00 1F 20 01 01 02 00 00 0E 79 00 00 0E 79 00 00 00 0D FF D9 FF F4 12 34 00 1B D2 00 00 00 D7,3705,3705,13,4660,2026-04-07 13:08:42.732,27,-39,-12,
FF FF FF FF 00 25 00 20 20 01 01 02 00 00 0E 79 00 00 0E 79 00 00 00 0D FF D9 FF F4 12 34 00 1C D1 00 00 00 EC,3705,3705,13,4660,2026-04-07 13:08:42.748,28,-39,-12,
FF FF FF FF 00 25 00 21 20 01 01 02 00 00 0E 79 00 00 0E 79 00 00 00 0D FF D9 FF F4 12 34 00 1D D2 00 00 00 EF,3705,3705,13,4660,2026-04-07 13:08:42.779,29,-39,-12,
FF FF FF FF 00 25 00 22 20 01 01 02 00 00 0E 79 00 00 0E 79 00 00 00 0D FF D9 FF F5 12 34 00 1E D3 00 00 00 EF,3705,3705,13,4660,2026-04-07 13:08:42.809,30,-39,-11,
FF FF FF FF 00 25 00 23 20 01 01 02 00 00 0E 79 00 00 0E 79 00 00 00 0D FF D9 FF F4 12 34 00 1F D2 00 00 00 EF,3705,3705,13,4660,2026-04-07 13:08:42.825,31,-39,-12,
FF FF FF FF 00 25 00 24 20 01 01 02 00 00 0E 79 00 00 0E 79 00 00 00 0C FF D9 FF F4 12 34 00 20 D2 00 00 00 D6,3705,3705,12,4660,2026-04-07 13:08:42.857,32,-39,-12,
FF FF FF FF 00 25 00 25 20 01 01 02 00 00 0E 79 00 00 0E 79 00 00 00 0D FF D9 FF F4 12 34 00 21 D3 00 00 00 D6,3705,3705,13,4660,2026-04-07 13:08:42.873,33,-39,-12,
FF FF FF FF 00 25 00 26 20 01 01 02 00 00 0E 79 00 00 0E 79 00 00 00 0D FF D9 FF F4 12 34 00 22 D2 00 00 00 D7,3705,3705,13,4660,2026-04-07 13:08:42.903,34,-39,-12,
FF FF FF FF 00 25 00 27 20 01 01 02 00 00 0E 79 00 00 0E 79 00 00 00 0D FF D8 FF F4 12 34 00 23 D1 00 00 00 D5,3705,3705,13,4660,2026-04-07 13:08:42.951,35,-40,-12,
FF FF FF FF 00 25 00 28 20 01 01 02 00 00 0E 79 00 00 0E 79 00 00 00 0D FF D8 FF F4 12 34 00 24 D2 00 00 00 DE,3705,3705,13,4660,2026-04-07 13:08:42.983,36,-40,-12,
FF FF FF FF 00 25 00 29 20 01 01 02 00 00 0E 79 00 00 0E 79 00 00 00 0D FF D8 FF F4 12 34 00 25 D3 00 00 00 DF,3705,3705,13,4660,2026-04-07 13:08:42.999,37,-40,-12,
FF FF FF FF 00 25 00 2A 20 01 01 02 00 00 0E 79 00 00 0E 79 00 00 00 0D FF D8 FF F4 12 34 00 26 D3 00 00 00 DF,3705,3705,13,4660,2026-04-07 13:08:43.030,38,-40,-12,
FF FF FF FF 00 25 00 2B 20 01 01 02 00 00 0E 79 00 00 0E 79 00 00 00 0D FF D8 FF F4 12 34 00 27 D2 00 00 00 DE,3705,3705,13,4660,2026-04-07 13:08:43.076,39,-40,-12,
FF FF FF FF 00 25 00 03 20 01 01 02 00 00 0B 4A 00 00 0B 49 00 00 00 12 FF D0 00 27 12 34 00 01 E0 00 00 00 DA,2889,2890,18,4660,2026-04-07 13:14:35.858,1,-48,39,
FF FF FF FF 00 25 00 04 20 01 01 02 00 00 0B 4A 00 00 0B 49 00 00 00 11 FF CF 00 26 12 34 00 02 E1 00 00 00 C2,2889,2890,17,4660,2026-04-07 13:14:35.873,2,-49,38,
FF FF FF FF 00 25 00 05 20 01 01 02 00 00 0B 4A 00 00 0B 49 00 00 00 11 FF CF 00 25 12 34 00 03 E1 00 00 00 C1,2889,2890,17,4660,2026-04-07 13:14:35.904,3,-49,37,
FF FF FF FF 00 25 00 06 20 01 01 02 00 00 0B 4A 00 00 0B 49 00 00 00 11 FF CF 00 26 12 34 00 04 DF 00 00 00 F8,2889,2890,17,4660,2026-04-07 13:14:35.951,4,-49,38,
FF FF FF FF 00 25 00 07 20 01 01 02 00 00 0B 4A 00 00 0B 49 00 00 00 11 FF CF 00 25 12 34 00 05 E2 00 00 00 C6,2889,2890,17,4660,2026-04-07 13:14:35.982,5,-49,37,
FF FF FF FF 00 25 00 08 20 01 01 02 00 00 0B 4A 00 00 0B 49 00 00 00 11 FF CF 00 27 12 34 00 06 DF 00 00 00 F5,2889,2890,17,4660,2026-04-07 13:14:35.998,6,-49,39,
FF FF FF FF 00 25 00 09 20 01 01 02 00 00 0B 4A 00 00 0B 49 00 00 00 11 FF CF 00 26 12 34 00 07 DF 00 00 00 F4,2889,2890,17,4660,2026-04-07 13:14:36.029,7,-49,38,
FF FF FF FF 00 25 00 0A 20 01 01 02 00 00 0B 4A 00 00 0B 49 00 00 00 11 FF CF 00 26 12 34 00 08 E1 00 00 00 C6,2889,2890,17,4660,2026-04-07 13:14:36.075,8,-49,38,
