SourceData,TagID,SiteID,NowDis,State,CreateTimeStr,Sn,Azimuth,Elevation,
FF FF FF FF 00 25 02 0E 20 01 01 02 00 00 00 64 00 00 00 64 00 00 00 09 00 2A 00 0F 12 34 A6 5E CC 00 00 00 35,100,100,9,4660,2026-04-13 13:45:17.508,42590,42,15,
FF FF FF FF 00 25 02 0F 20 01 01 02 00 00 00 64 00 00 00 64 00 00 00 08 00 2A 00 0F 12 34 A6 5F CC 00 00 00 34,100,100,8,4660,2026-04-13 13:45:17.524,42591,42,15,
FF FF FF FF 00 25 02 10 20 01 01 02 00 00 00 64 00 00 00 64 00 00 00 08 00 2B 00 0F 12 34 A6 60 CC 00 00 00 15,100,100,8,4660,2026-04-13 13:45:17.555,42592,43,15,
FF FF FF FF 00 25 02 11 20 01 01 02 00 00 00 64 00 00 00 64 00 00 00 08 00 2A 00 0F 12 34 A6 61 CC 00 00 00 14,100,100,8,4660,2026-04-13 13:45:17.602,42593,42,15,
FF FF FF FF 00 25 02 12 20 01 01 02 00 00 00 64 00 00 00 64 00 00 00 08 00 2A 00 0F 12 34 A6 62 CC 00 00 00 14,100,100,8,4660,2026-04-13 13:45:17.633,42594,42,15,
FF FF FF FF 00 25 02 13 20 01 01 02 00 00 00 64 00 00 00 64 00 00 00 08 00 2A 00 0F 12 34 A6 63 CC 00 00 00 14,100,100,8,4660,2026-04-13 13:45:17.648,42595,42,15,
FF FF FF FF 00 25 02 14 20 01 01 02 00 00 00 64 00 00 00 64 00 00 00 07 00 2A 00 0F 12 34 A6 64 CC 00 00 00 1B,100,100,7,4660,2026-04-13 13:45:17.680,42596,42,15,
FF FF FF FF 00 25 02 15 20 01 01 02 00 00 00 64 00 00 00 64 00 00 00 07 00 2A 00 0F 12 34 A6 65 CC 00 00 00 1B,100,100,7,4660,2026-04-13 13:45:17.727,42597,42,15,
FF FF FF FF 00 25 02 0D 20 01 01 02 00 00 00 64 00 00 00 64 00 00 00 0A 00 2C 00 0F 12 34 A6 5D CC 00 00 00 30,100,100,8,4660,2026-04-13 13:45:17.758,42598,42,15,
FF FF FF FF 00 25 02 16 20 01 01 02 00 00 00 64 00 00 00 64 00 00 00 08 00 2A 00 0F 12 34 A6 66 C9 00 00 00 11,100,100,8,4660,2026-04-13 13:45:17.758,42598,42,15,
FF FF FF FF 00 25 02 17 20 01 01 02 00 00 00 64 00 00 00 64 00 00 00 08 00 2A 00 0F 12 34 A6 67 CA 00 00 00 12,100,100,8,4660,2026-04-13 13:45:20.171,42599,42,15,
FF FF FF FF 00 25 02 18 20 01 01 02 00 00 00 64 00 00 00 64 00 00 00 08 00 2A 00 0F 12 34 A6 68 C9 00 00 00 11,100,100,8,4660,2026-04-13 13:45:22.148,42600,42,15,
FF FF FF FF 00 25 02 19 20 01 01 02 00 00 00 64 00 00 00 64 00 00 00 07 00 2A 00 10 12 34 A6 69 CC 00 00 00 04,100,100,7,4660,2026-04-13 13:45:22.382,42601,42,16,
FF FF FF FF 00 25 02 1A 20 01 01 02 00 00 00 64 00 00 00 64 00 00 00 07 00 2A 00 10 12 34 A6 6A CC 00 00 00 04,100,100,7,4660,2026-04-13 13:45:22.412,42602,42,16,
FF FF FF FF 00 25 02 1B 20 01 01 02 00 00 00 64 00 00 00 64 00 00 00 07 00 2A 00 10 12 34 A6 6B CA 00 00 00 02,100,100,7,4660,2026-04-13 13:45:22.427,42603,42,16,
FF FF FF FF 00 25 00 0D 20 01 01 02 00 00 00 64 00 00 00 64 00 00 00 4B FF FE 00 10 12 34 04 20 C6 00 00 00 94,100,100,75,4660,2026-04-13 13:47:08.434,1056,-2,16,
FF FF FF FF 00 25 00 0E 20 01 01 02 00 00 00 64 00 00 00 64 00 00 00 53 FF F1 00 16 12 34 04 21 C5 00 00 00 84,100,100,83,4660,2026-04-13 13:47:08.465,1057,-15,22,
FF FF FF FF 00 25 00 0F 20 01 01 02 00 00 00 64 00 00 00 64 00 00 00 53 FF EE 00 18 12 34 04 22 C4 00 00 00 96,100,100,83,4660,2026-04-13 13:47:08.481,1058,-18,24,
FF FF FF FF 00 25 00 10 20 01 01 02 00 00 00 64 00 00 00 64 00 00 00 4A FF EE 00 19 12 34 04 23 C4 00 00 00 90,100,100,74,4660,2026-04-13 13:47:08.512,1059,-18,25,
FF FF FF FF 00 25 00 11 20 01 01 02 00 00 00 64 00 00 00 64 00 00 00 4C FF E9 00 15 12 34 04 24 C3 00 00 00 9C,100,100,76,4660,2026-04-13 13:47:08.559,1060,-23,21,
FF FF FF FF 00 25 00 1B 20 01 01 02 00 00 0F 65 00 00 0F 65 00 00 00 1B 01 2E FF FA 12 34 02 78 00 00 00 00 71,3941,3941,27,4660,2026-04-13 15:25:05.000,632,302,-6,
FF FF FF FF 00 25 00 1C 20 01 01 02 00 00 0F 65 00 00 0F 65 00 00 00 5F 01 3A FF F0 12 34 34 02 00 00 00 00 60,3941,3941,95,4660,2026-04-13 15:25:05.016,13314,314,-16,
FF FF FF FF 00 25 00 1D 20 01 01 02 00 00 0F 65 00 00 0F 65 00 00 00 20 01 30 FF F4 12 34 02 7B 00 00 00 00 5F,3941,3941,32,4660,2026-04-13 15:25:05.047,635,304,-12,
FF FF FF FF 00 25 00 1E 20 01 01 02 00 00 0F 65 00 00 0F 65 00 00 00 26 01 27 FF F6 12 34 02 7C 00 00 00 00 48,3941,3941,38,4660,2026-04-13 15:25:05.078,636,295,-10,
FF FF FF FF 00 25 00 1F 20 01 01 02 00 00 0F 65 00 00 0F 65 00 00 00 28 01 20 FF F6 12 34 02 7D 00 00 00 00 41,3941,3941,40,4660,2026-04-13 15:25:05.093,637,288,-10,
FF FF FF FF 00 25 00 20 20 01 01 02 00 00 0F 65 00 00 0F 65 00 00 00 29 01 1A FF F5 12 34 02 7E 00 00 00 00 45,3941,3941,41,4660,2026-04-13 15:25:05.124,638,282,-11,
FF FF FF FF 00 25 00 21 20 01 01 02 00 00 0F 65 00 00 0F 65 00 00 00 27 01 14 FF F4 12 34 02 7F 00 00 00 00 44,3941,3941,39,4660,2026-04-13 15:25:05.139,639,276,-12,
FF FF FF FF 00 25 00 22 20 01 01 02 00 00 0F 65 00 00 0F 65 00 00 00 2A 01 0E FF F3 12 34 02 80 00 00 00 00 A8,3941,3941,42,4660,2026-04-13 15:25:05.171,640,270,-13,
FF FF FF FF 00 25 00 1A 20 01 01 02 00 00 0F 65 00 00 0F 65 00 00 00 42 01 4A FF FB 12 34 02 79 00 00 00 00 4D,3941,3941,35,4660,2026-04-13 15:25:05.217,642,260,-19,
FF FF FF FF 00 25 00 23 20 01 01 02 00 00 0F 65 00 00 0F 65 00 00 00 29 01 09 FF F1 12 34 02 81 00 00 00 00 AE,3941,3941,41,4660,2026-04-13 15:25:05.201,641,265,-15,
