SourceData,TagID,SiteID,NowDis,State,CreateTimeStr,Sn,Azimuth,Elevation,
FF FF FF FF 00 25 01 DF 20 01 01 02 00 00 13 67 00 00 13 67 00 00 00 4E FF EE FF ED 12 34 01 DA BC 00 00 00 D5,4967,4967,78,4660,2026-07-30 22:52:38.047,474,-18,-19,
FF FF FF FF 00 25 01 E0 20 01 01 02 00 00 13 67 00 00 13 67 00 00 00 4E FF ED FF EE 12 34 01 DB C1 00 00 00 96,4967,4967,78,4660,2026-07-30 22:52:38.147,475,-19,-18,
FF FF FF FF 00 25 01 E1 20 01 01 02 00 00 13 67 00 00 13 67 00 00 00 4B FF EC FF EF 12 34 01 DC C0 00 00 00 94,4967,4967,75,4660,2026-07-30 22:52:38.246,476,-20,-17,
FF FF FF FF 00 25 01 E2 20 01 01 02 00 00 13 67 00 00 13 67 00 00 00 4B FF EC FF F0 12 34 01 DD BF 00 00 00 F6,4967,4967,75,4660,2026-07-30 22:52:38.346,477,-20,-16,
FF FF FF FF 00 25 01 E3 20 01 01 02 00 00 13 67 00 00 13 67 00 00 00 49 FF EB FF F1 12 34 01 DE BF 00 00 00 F0,4967,4967,73,4660,2026-07-30 22:52:38.454,478,-21,-15,
FF FF FF FF 00 25 01 E4 20 01 01 02 00 00 13 67 00 00 13 67 00 00 00 4A FF EB FF F2 12 34 01 DF BF 00 00 00 F6,4967,4967,74,4660,2026-07-30 22:52:38.552,479,-21,-14,
FF FF FF FF 00 25 01 E5 20 01 01 02 00 00 13 67 00 00 13 67 00 00 00 4A FF EB FF F3 12 34 01 E0 C0 00 00 00 B6,4967,4967,74,4660,2026-07-30 22:52:38.650,480,-21,-13,
FF FF FF FF 00 25 01 E6 20 01 01 02 00 00 13 67 00 00 13 67 00 00 00 49 FF EB FF F3 12 34 01 E1 C0 00 00 00 B7,4967,4967,73,4660,2026-07-30 22:52:38.749,481,-21,-13,
FF FF FF FF 00 25 01 E7 20 01 01 02 00 00 13 67 00 00 13 67 00 00 00 49 FF EB FF F3 12 34 01 E2 C0 00 00 00 B5,4967,4967,73,4660,2026-07-30 22:52:38.848,482,-21,-13,
FF FF FF FF 00 25 01 DE 20 01 01 02 00 00 13 67 00 00 13 67 00 00 00 4E FF EE FF EC 12 34 01 D9 C0 00 00 00 AA,4967,4967,73,4660,2026-07-30 22:52:38.848,482,-21,-13,
FF FF FF FF 00 25 01 E8 20 01 01 02 00 00 13 67 00 00 13 67 00 00 00 4A FF EA FF F3 12 34 01 E3 C0 00 00 00 B9,4967,4967,74,4660,2026-07-30 22:52:38.948,483,-22,-13,
FF FF FF FF 00 25 01 E9 20 01 01 02 00 00 13 67 00 00 13 67 00 00 00 4A FF EB FF F3 12 34 01 E4 BC 00 00 00 C2,4967,4967,74,4660,2026-07-30 22:52:39.048,484,-21,-13,
FF FF FF FF 00 25 01 EA 20 01 01 02 00 00 13 67 00 00 13 67 00 00 00 4A FF EA FF F3 12 34 01 E5 C1 00 00 00 BC,4967,4967,74,4660,2026-07-30 22:52:39.158,485,-22,-13,
FF FF FF FF 00 25 01 EB 20 01 01 02 00 00 13 67 00 00 13 67 00 00 00 4A FF EB FF F3 12 34 01 E6 BF 00 00 00 C1,4967,4967,74,4660,2026-07-30 22:52:39.245,486,-21,-13,
FF FF FF FF 00 25 01 EC 20 01 01 02 00 00 13 67 00 00 13 67 00 00 00 4A FF EB FF F2 12 34 01 E7 C0 00 00 00 B9,4967,4967,74,4660,2026-07-30 22:52:39.356,487,-21,-14,
FF FF FF FF 00 25 01 ED 20 01 01 02 00 00 13 67 00 00 13 67 00 00 00 4A FF EA FF F3 12 34 01 E8 BF 00 00 00 C8,4967,4967,74,4660,2026-07-30 22:52:39.454,488,-22,-13,
FF FF FF FF 00 25 01 EE 20 01 01 02 00 00 13 67 00 00 13 67 00 00 00 4B FF EA FF F2 12 34 01 E9 C0 00 00 00 B5,4967,4967,75,4660,2026-07-30 22:52:39.553,489,-22,-14,
FF FF FF FF 00 25 01 EF 20 01 01 02 00 00 13 67 00 00 13 67 00 00 00 4B FF E8 FF F2 12 34 01 EA BF 00 00 00 CA,4967,4967,75,4660,2026-07-30 22:52:39.651,490,-24,-14,
